scenario,provider,gpu_model,vram_gb,eu_resident,pricing_mode,compute_hours,compute_usd,overhead_usd,storage_usd,egress_usd,total_usd_month,assumptions
ci-smoke,Thunder Compute,NVIDIA RTX A6000,48,no,on-demand,9.3333,2.8,0.47,2.5,0,5.77,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.35; overhead_usd = 1.3333h x $0.35. Storage: 50GB snapshot @ $0.05/GB-mo (persistent disk dies with the instance; 100GB/GPU free while running). cheapest 48GB anywhere; US-only, no EU region"
ci-smoke,RunPod (Community Cloud),NVIDIA RTX A6000,48,yes,on-demand,8.6667,2.64,0.22,3.5,0,6.36,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.33; overhead_usd = 0.6667h x $0.33. Storage: 50GB network volume @ $0.07/GB-mo (billed HOURLY, not per-second). CHEAPEST 48GB-class GPU-hour found anywhere in this study. Community = vetted third-party hosts, NOT preemptible and cannot be outbid"
ci-smoke,RunPod (Community Cloud),NVIDIA A40,48,yes,on-demand,8.6667,2.8,0.23,3.5,0,6.53,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.35; overhead_usd = 0.6667h x $0.35. Storage: 50GB network volume @ $0.07/GB-mo (billed HOURLY, not per-second). Community = vetted third-party hosts, NOT preemptible and cannot be outbid"
ci-smoke,Beam Cloud,NVIDIA A6000,48,unknown,on-demand,8.0,6.57,0.0,0.0,0,6.57,"40 runs x 12min = 8.00h actual compute. boot 2s and NOT BILLED (Beam does not charge for spinup or container load) x 40 = 0.0000h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.8208; overhead_usd = 0.0000h x $0.8208. Storage: 1 TB storage included free. Beam does NOT bill cold boot or container load - the only provider here where boot is genuinely free"
ci-smoke,RunPod (Secure Cloud),NVIDIA A40,48,yes,on-demand,8.6667,3.52,0.29,3.5,0,7.31,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.44; overhead_usd = 0.6667h x $0.44. Storage: 50GB network volume @ $0.07/GB-mo. T3/T4 partner datacenters; the tier to use for private weights"
ci-smoke,Hyperstack,NVIDIA RTX A6000,48,no,on-demand,9.3333,4.0,0.67,3.5,0,8.17,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.5; overhead_usd = 1.3333h x $0.5. Storage: 50GB volume @ $0.07/GB-mo. NORWAY-1 = EEA not EU; a SHUTOFF VM still bills FULL COMPUTE - teardown must DELETE or hibernate"
ci-smoke,Thunder Compute,NVIDIA A100 80GB,80,no,on-demand,9.3333,8.72,1.45,2.5,0,12.67,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.09; overhead_usd = 1.3333h x $1.09. Storage: 50GB snapshot @ $0.05/GB-mo. cheapest 80GB-class with all 3 requirements; US-only"
ci-smoke,RunPod (Community Cloud),NVIDIA A100 PCIe 80GB,80,yes,on-demand,8.6667,9.52,0.79,3.5,0,13.81,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.19; overhead_usd = 0.6667h x $1.19. Storage: 50GB network volume @ $0.07/GB-mo. third-party hosts"
ci-smoke,DigitalOcean,NVIDIA L40S,48,no,on-demand,9.3333,12.56,2.09,0.0,0,14.65,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.57; overhead_usd = 1.3333h x $1.57. Storage: VOLUME PRICE NOT PUBLISHED/FETCHED - storage cost OMITTED, total is a LOWER BOUND. 5-minute minimum billing period does not bind (each run is ~14 min). TOR1 Toronto ONLY - inside DigitalOcean, cheap-48GB and EU are mutually exclusive"
ci-smoke,RunPod (Secure Cloud),NVIDIA A100 PCIe 80GB,80,yes,on-demand,8.6667,11.12,0.93,3.5,0,15.55,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.39; overhead_usd = 0.6667h x $1.39. Storage: 50GB network volume @ $0.07/GB-mo. EU datacenter, vetted T3/T4 hardware"
ci-smoke,Cerebrium,NVIDIA L40S,48,no,on-demand,8.0333,15.61,0.07,0.0,0,15.67,"40 runs x 12min = 8.00h actual compute. boot 3s (provider-documented) x 40 = 0.0333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.9512; overhead_usd = 0.0333h x $1.9512. Storage: first 100GB free @ $0.05/GB-mo beyond. L40S is NOT in either GA EU region - US-only despite Cerebrium's EU story"
ci-smoke,Verda,NVIDIA RTX A6000,48,yes,on-demand,9.3333,4.88,0.81,10.0,0,15.69,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $0.61; overhead_usd = 1.3333h x $0.61. Storage: 50GB NVMe @ $0.20/GiB-mo. Verda prepays in 10-min blocks and refunds the unused portion, so the effective charge is usage-based. 10-min prepaid blocks with automatic refund of the unused portion"
ci-smoke,Modal,NVIDIA L40S,48,no,on-demand,8.0556,15.61,0.11,0.0,0,15.72,"40 runs x 12min = 8.00h actual compute. boot 5s (provider-documented) x 40 = 0.0556h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.9512; overhead_usd = 0.0556h x $1.9512. Storage: 1 TiB/month free @ $0.09/GiB-mo beyond. US base rate"
ci-smoke,Hyperstack,NVIDIA A100 PCIe 80GB,80,no,on-demand,9.3333,10.8,1.8,3.5,0,16.1,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.35; overhead_usd = 1.3333h x $1.35. Storage: 50GB volume @ $0.07/GB-mo. EEA Norway"
ci-smoke,Nebius,NVIDIA L40S (AMD CPU),48,yes,on-demand,9.3333,12.4,2.07,4.0,0,18.47,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.55; overhead_usd = 1.3333h x $1.55. Storage: 50GB Shared Filesystem @ $0.08/GiB-mo (billed regardless of VM attachment). eu-north1 Finland; true per-second billing"
ci-smoke,Exoscale,NVIDIA RTX Pro 6000 (96GB),96,yes,on-demand,9.3333,17.2,2.87,0.0,0,20.07,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $2.15; overhead_usd = 1.3333h x $2.15. Storage: BLOCK STORAGE PRICE UNVERIFIABLE (renders client-side) - storage OMITTED, total is a LOWER BOUND; GPU local storage is billed separately and excluded from the headline rate. PRICE UNVERIFIABLE - carried forward as the corrected numeral after removing a fabricated FX conversion. Also gated behind MANUAL ACCOUNT SCREENING favouring 'established businesses'"
ci-smoke,Lambda,NVIDIA RTX A6000,48,yes,on-demand,9.3333,8.72,1.45,10.0,0,20.17,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.09; overhead_usd = 1.3333h x $1.09. Storage: 50GB filesystem @ $0.20/GiB-mo (billed while it exists, even unmounted). Europe-Central-1 Germany is a real region; A6000 stock THERE is unconfirmed. No spot tier at all."
