id	persona	severity	evidence	claim	falsifier
F01	claim-auditor	BLOCKER	README.md:395 vs docs/roadmap.md:314	"~1.8 s/step" on RTX 4090 int4+grad_checkpointing; roadmap's linked section records median step "4482.18 ms (~4.5 s)" same config	A `just bench` run log or ADR recording a ~1800 ms median step for this configuration
F02	lora-practitioner	BLOCKER	tier0/README.md:215 vs comparables/ai-toolkit/README.md:35	Only real image target is Krea 2, which ai-toolkit already trains alongside ~40 image/video/audio models plus edit variants	A documented SDXL or FLUX loader with an example config under "Real base models"
F03	cal-ai-toolkit	HIGH	README.md:3	Phrase "every feature imaginable" is classic overpromise; combined with 50-line model list instead of docs, signals abandoned README	Actual working tutorial (the notebook files exist but aren't linked)
F04	lora-practitioner	HIGH	tier0/README.md:142 vs comparables/sd-scripts/docs/train_README-zh.md:378	No documented mid-training image preview; sd-scripts exposes --sample_every_n_steps/--sample_prompts, ai-toolkit writes samples into the run folder	A README example showing output.sample_every decoding an image on the diffusion path
F05	lora-practitioner	HIGH	tier0/README.md:156 vs comparables/sd-scripts/docs/train_network.md:83	Only AdamW appears; ss_optimizer is written as metadata, not chosen. No optimizer_type, no lr_scheduler, no warmup documented	An optim: config block in the README listing selectable optimizers and LR schedules
F06	lora-practitioner	HIGH	tier0/README.md:235 vs comparables/sd-scripts/docs/config_README-en.md:147	dataset takes one path; no per-concept subsets, num_repeats, or regularization images — every character LoRA I train balances several folders	A multi-subset dataset config example with per-folder repeat weights
F07	rust-craft	HIGH	crates/loractl-api/src/routes.rs:105	`dataset.path` and `model.denoiser/vae/text_encoder/tokenizer` bypass confinement on unauthenticated POST /runs; errors return via SSE (state.rs:233) as a read oracle	A confine_read call (or a rejection test) covering dataset.path and the model component overrides
F08	claim-auditor	MEDIUM	README.md:40 vs Cargo.toml:3	"Three crates, one direction of dependency" — workspace declares four members including `crates/loractl-bench`; CLAUDE.md:64 says "The workspace is four crates"	Removal of loractl-bench from workspace members, or a README row for it
F09	claim-auditor	MEDIUM	README.md:351 vs crates/loractl-core/src/config.rs:652	`backend: ndarray | wgpu | cuda | tch` omits `candle`, a wired backend with its own build feature and dispatch arm (diffusion_trainer.rs:493)	Removal of BackendKind::Candle and the `candle` feature from cli/core Cargo.toml
F10	claim-auditor	MEDIUM	README.md:353 vs crates/loractl-core/src/config.rs:695	`precision: f32 (default) | f16 (wgpu only)` omits `bf16`, accepted by FromStr (config.rs:707) and the only Metal-correct precision per diffusion_trainer.rs:485	Removal of Precision::Bf16, or a README mention of bf16/candle
F11	lora-practitioner	MEDIUM	tier0/README.md:402	"512px is the only point any of that was measured at" — 1024px, the resolution I actually train, only earns an advisory warning	A published 1024px VRAM and s/step measurement alongside the 4090 512px figure
F12	rust-craft	MEDIUM	crates/loractl-core/src/diffusion_trainer.rs:304	Latent-cache correctness depends on a human bumping the `-t2` literal; the reader validates rank not length, so a missed bump silently trains on misaligned conditioning	A cache reader asserting sequence length/shape, or a fingerprint derived from the template code
F13	rust-craft	MEDIUM	crates/loractl-core/src/lora.rs:316	`dropout_is_active_during_training` exercises `lora.dropout` directly, not `LoraLinear::forward`; deleting the dropout call at lora.rs:108 leaves the whole suite green (every other test uses dropout 0.0)	A test calling `LoraLinear::forward` twice on an autodiff backend at prob>0 and asserting the outputs differ
F14	claim-auditor	LOW	README.md:59 vs crates/loractl-cli/src/cli.rs:198	"presets: synthetic, wgpu, flow, krea2" — the Preset enum has a fifth, `krea2-comfyui`, with `config/examples/krea2-comfyui.yaml` shipped	Removal of Preset::Krea2Comfyui from the CLI enum
F15	rust-craft	LOW	crates/loractl-cli/src/cli.rs:718	Comment asserts `train()` "is never executed by any test"; tests/verbosity_wiring.rs:42 spawns the binary and runs `train` — stale claim discourages coverage that already exists	Corrected comment, or a git blame showing verbosity_wiring.rs predates this line
F16	rust-craft	LOW	crates/loractl-core/src/diffusion_trainer.rs:1732	`LORACTL_SKIP_GRAD_CHECK` disables the non-finite-gradient guard on mere presence (`=0` also disables); appears exactly once in the tree, undocumented in README/docs	A docs entry plus a value-parsing test, or removal in favour of a config field
