provider,category,cluster,hq_country,eu_regions,billing_granularity,billing_minimum,req_subhour_billing,req_api_provisioning,req_persistent_volume,hard_reqs_passed,eu_residency_bonus,terraform_provider,gh_runner_story,storage_usd_gb_month,egress,verification_status,disqualifiers,notes
Verda (formerly DataCrunch),eu-neocloud,gap-fill,Finland,"FIN-01/02/03 Helsinki, Finland","pre-paid 10-minute increments, unused portion refunded",10-minute prepaid block; refunded if terminated early; no commitment,pass (qualified),pass,pass,3,yes,"verda-cloud/verda v1.1.2 (COMMUNITY, published 2026-02-26, 1,635 downloads - young/low-adoption)",none documented,0.20,unknown,CONFIRMED,10-min prepaid granularity is the weakest fit for minutes-long CI; unresolved 2025-09 forum report that volumes attached to PRE-EMPTED SPOT instances are DELETED not detached,datacrunch.io/pricing 301-redirects to verda.com/pricing - same company. Every on-demand price matched the live page to the cent. Iceland (Reykjanesbaer) appears in press coverage but NOT in the docs locations table; it is EEA not EU.
RunPod,marketplace / gpu-native,marketplace + serverless,United States,"EU-CZ-1, EU-FR-1, EU-NL-1, EU-RO-1, EU-SE-1 (plus EUR-IS-1/2 Iceland = EEA not EU)",per-second (compute); network volumes billed HOURLY,"no minimum billed duration; account must hold >=1 hour of credit to deploy (deposit gate, not a billed minimum)",pass,pass,pass,3,yes,"runpod/runpod v1.0.9 (community, 2026-07-22, ~2k downloads); also decentralized-infrastructure/runpod v1.0.1","runpod-workers/worker-github_runner (RunPod org, Serverless-targeted, 8 stars) - reference only; Pods give SSH+root so the JIT-runner pattern is straightforward but is a community pattern, not vendor-documented",0.07 (network volume <1TB); 0.05 >1TB; 0.14 high-perf; volume disk 0.10 running / 0.20 IDLE,free,CORRECTED,"network volume must be attached at pod-creation and pins the pod to one datacenter; US-controlled provider (EU hosting, not EU sovereignty); Community Cloud is third-party hardware","Six EU datacenters confirmed from RunPod's own docs - materially better EU story than first reported. Community Cloud is NOT preemptible and cannot be outbid; it is a cheaper tier on vetted third-party hosts, so do not read its column as spot."
Thunder Compute,gpu-native,marketplace / consumer-GPU clouds,United States,NONE - technical-specs doc states North America only,per-minute,none found; billed only while instances run,pass,pass,"pass (via snapshot, not detachable volume)",3,no,"Thunder-Compute/thundercompute (community, only 130 downloads - effectively unexercised)",none found,0.05 (snapshot); 100GB per GPU free while running,free,CORRECTED,"No EU region (confirmed, not merely unpublished); narrow catalog (4 models, tops out at H100 PCIe); GPU-over-network virtualization - host-device throughput must be benchmarked before trusting a training workload","Cheapest 48GB-class rate anywhere in this study at $0.35/hr. The persistent disk is the instance home/OS and dies with the instance; SNAPSHOTS ($0.05/GB-mo) are what carry weights across a destroy, which adds a restore step to any CI create/destroy loop."
Nebius,eu-neocloud,UpCloud plus European neoclouds,Netherlands,"eu-north1 Finland (H100/H200/L40S), eu-west1 France (H200), eu-north2 Iceland (EEA not EU, H200), eu-west2 France (B300)","per-second (billing unit 1s, pricing unit 1h, proportional below the hour)","none; $25 minimum first account payment is a funding floor, not a run minimum",pass,pass,pass,3,yes,"nebius/nebius v0.6.38 (COMMUNITY tier, vendor-published)",none found,0.08 (Shared Filesystem); 0.10 WEKA; 0.053 block (no replication),unknown,CORRECTED,The cheapest large-VRAM card (RTX PRO 6000 96GB @ $1.80/hr) is us-central1 ONLY - not available under EU residency; B200 is US/Israel only,"Volumes billed 'regardless of whether they are added to VMs' - exactly the semantics a weight cache needs; ~20GB of weights on a Shared Filesystem is ~$1.60/month. L40S is TWO SKUs (AMD CPU $1.55, Intel CPU $1.82), not one price range."
Lambda (Lambda Cloud / Lambda Labs),gpu-native,GPU-native clouds,United States,Europe-Central-1 (Germany) - a real On-Demand Cloud GPU region per Lambda's own docs,per-minute,none; billing bounded by launch and termination,pass,pass,pass,3,yes (region confirmed; per-SKU inventory in Germany NOT confirmed),"none Lambda-published; community elct9620/lambdalabs (69,366 downloads)",none found,0.20,free,CORRECTED,"No spot/preemptible tier at all - no cheap interruptible option for long training; docs state 'not every instance type will be available in every region', and the 48GB A6000's presence in Germany is unconfirmed; capacity for popular SKUs is historically tight","Every price on the rate card is PER GPU PER HOUR, including 1x rows. Storage price IS published at $0.20/GiB/month and billing continues while a filesystem exists even if unmounted. The H100 SXM and B200 rows are published as RANGES ($3.99-4.29, $6.69-6.99); the 1x-vs-8x mapping is unverified."
Amazon Web Services (EC2),hyperscaler,hyperscalers-eu-regions,United States,"eu-north-1 Stockholm, eu-central-1 Frankfurt, eu-west-1 Ireland, eu-west-2 London, eu-west-3 Paris, eu-south-2 Spain, eu-central-2 Zurich (Zurich=CH, not EU)",per-second,60-second minimum on Linux instances,pass,pass,pass,3,yes,hashicorp/aws (official),"Best-covered: machulav/ec2-github-runner (JIT registration), github-aws-runners/terraform-aws-github-runner (v7.10.1, actively maintained), RunsOn (BYO-AWS control plane)",0.0836 gp3 eu-north-1 / 0.0952 eu-central-1 (NOT re-verified by the verification pass),unknown,CORRECTED,"ALL spot prices are null - AWS publishes no unauthenticated spot price feed; the previously-reported spot figures were derived from Spot Advisor discount bands, not quoted. GPU quota is per-region AND separate for on-demand vs spot; expect a multi-day Support-case cycle before the first run. No single-GPU 80GB shape in Stockholm or Frankfurt (only eu-west-2 London p5.4xlarge). No B200 in any EU region.","Every on-demand price confirmed digit-exact against the AWS pricing feed. Spot Advisor SAVINGS BANDS are confirmed (eu-north-1 g6e.xlarge 58% but >20%/month interruption; eu-south-2 g6e.xlarge 68% at 10-15%; p5.48xlarge 85% at <5%) - the small single-GPU shapes have the WORST interruption profile, which is backwards from what bursty CI wants. Correction: Paris and Zurich DO carry g5/g6 families (24GB class), contrary to an earlier 'no large GPU SKUs whatsoever' claim."
DigitalOcean Gradient (GPU Droplets),gpu-native,GPU-native clouds,United States,AMS3 Amsterdam - NVIDIA H100 ONLY. FRA1 Frankfurt has no GPU Droplets at all.,per-second,5-minute minimum billing period,pass,pass,"pass (no GPU exception documented, but no doc explicitly affirms Volume attach to GPU Droplets - verify in console)",3,yes (H100 only),"digitalocean/digitalocean (official, mature)","none official; best third-party ephemeral-Droplet tooling coverage, unverified for GPU slugs",NOT PUBLISHED/FETCHED,"15,000 GiB bundled on datacenter-GPU tiers; 10,000 GiB on Ada tiers",CONFIRMED,"The 48GB tier (L40S and RTX 6000 Ada, both $1.57/hr) is TOR1 Toronto ONLY. Inside DigitalOcean, cheap-48GB and EU-residency are mutually exclusive: the EU floor is $4.41/hr H100, a 2.8x premium. A powered-off Droplet keeps billing until DESTROYED.","Datacenter-GPU tiers also ship 5 TiB of NVMe scratch - fast but ephemeral, so it is a within-lifetime cache only, not a cross-run one."
Modal,serverless,serverless / per-second GPU platforms,United States,"eu (broad EEA), eu-west (Dublin), eu-north, eu-south - selectable via region= on Sandboxes and Functions",per-second,none stated; 0.125-core floor is a resource minimum not a time minimum,pass,"pass (SDK/CLI, NOT a REST provisioning API)",pass (use Volumes v1),3,yes (at a 1.5x-1.75x price multiplier),none,none documented; mechanically plausible via Sandbox,0.09 (1 TiB/month free),unknown,CORRECTED,"EU pinning costs 1.5x (broad 'eu') or 1.75x (narrow, e.g. eu-west Dublin) of every listed rate - the headline price is a US price. Docs do not state which GPU types are stocked in which EU region. Volumes v2 is BETA with an explicit docs warning that data loss cannot yet be ruled out. No REST provisioning API (Python/JS/Go SDK + CLI only).","Sandboxes run arbitrary code (documented for untrusted/agent code, custom images, sb.exec) so a Rust cargo build is in scope. Cheapest 24GB option L4 $0.80/hr base was missing from the original sweep."
Cerebrium,serverless,serverless / per-second GPU platforms,United States,"eu-north-1 Stockholm (GA), eu-north1 Finland on Nebius (GA). eu-central-1 Frankfurt and eu-west-2 (UK, not EU) are on-request only.",per-second,none published either way (unverified),pass,pass (CLI verified; REST surface unverified),pass (region-local),3,yes (but a much narrower EU GPU menu than the price list implies),none,none found,0.05 (first 100GB free),unknown,CORRECTED,"L40S, A100 80GB, RTX PRO 6000 and B200 are NOT available in either GA EU region - the cheap headline SKUs are US-only. The EU 48GB option is L40, whose price is not broken out on the pricing page (UNVERIFIABLE). Persistent storage is REGION-LOCAL. Product is framed around serverless inference endpoints; no documented general-purpose batch/sandbox primitive, so hosting `cargo test --features cuda` is UNVERIFIED.","Earlier claim that eu-west-2 is an EU region is wrong - that is the United Kingdom, and on-request only."
Exoscale,eu-neocloud,UpCloud plus European neoclouds,Switzerland,"DE-FRA-1 Frankfurt (A40, RTX Pro 6000), HR-ZAG-1 Zagreb (RTX Pro 6000), AT-VIE-1/AT-VIE-2 Vienna (V100, A5000, 3080ti). CH-GVA-2 Geneva and CH-DK-2 Zurich are SWITZERLAND, not EU.",per-second,"none; 'Resources are billed by the second, with a no-surprise flat rate across all zones'",pass,pass (with a human gate - see disqualifiers),pass,3,yes,exoscale/exoscale v0.70.0 (PARTNER tier),none found,UNVERIFIABLE (renders client-side); GPU local storage billed separately and excluded from the headline instance price,unknown,UNVERIFIABLE,"EVERY PRICE IS UNVERIFIABLE - the pricing page renders figures client-side and the served HTML contains only Angular template placeholders; no numeric price is retrievable from the pricing page, the per-GPU pages, or the calculator. GPU instances additionally require MANUAL ACCOUNT VALIDATION 'granted with priority to established businesses' - a human gate no API can route around, which may simply refuse a solo developer.","Prices carried forward are the CORRECTED numerals ($1.05 A40 SMALL, $2.15 RTX Pro 6000 SMALL) after removing a fabricated 1.1535 EUR->USD conversion - Exoscale publishes CHF/EUR/USD as byte-identical numerals. Treat as indicative only. An HGX B300 in CH-GVA-2 (Switzerland, non-EU) was missed by the original sweep."
