provider,gpu_model,vram_gb,gpu_count,instance_name,vcpu,ram_gb,local_disk_gb,on_demand_usd_hr,spot_usd_hr,usd_hr_per_gpu,region_priced,tier,source_url,verification_status
RunPod (Community Cloud),NVIDIA RTX A6000,48,1,"NVIDIA RTX A6000 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.33,,0.33,EU DCs where stocked,48GB,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA A40,48,1,"NVIDIA A40 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.35,,0.35,EU DCs where stocked,48GB,https://www.runpod.io/pricing,CORRECTED
Thunder Compute,NVIDIA RTX A6000,48,1,A6000,,,,0.35,,0.35,North America ONLY (no EU),48GB,https://www.thundercompute.com/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA A40,48,1,NVIDIA A40 Pod - Secure,,,,0.44,,0.44,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),48GB,https://www.runpod.io/pricing,CORRECTED
TensorDock,NVIDIA RTX A6000,48,1,RTX A6000 - STALE table stamped 2024-07-24,,,,0.45,,0.45,unspecified,48GB,https://www.tensordock.com/cloud-gpus.html,UNVERIFIABLE
RunPod (Secure Cloud),NVIDIA RTX A6000,48,1,NVIDIA RTX A6000 Pod - Secure,,,,0.49,,0.49,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),48GB,https://www.runpod.io/pricing,CORRECTED
Hyperstack,NVIDIA RTX A6000,48,1,RTX A6000,,,,0.5,,0.5,"NORWAY-1 (EEA, not EU) / CANADA-1 / US-1; per-SKU region NOT confirmed",48GB,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
Shadeform,NVIDIA RTX A6000,48,1,A6000 (via hyperstack),28,58,100,0.5,,0.5,"NO Oslo (EEA, not EU)",48GB,https://api.shadeform.ai/v1/instances/types,NOT_VERIFIED
Vast.ai,NVIDIA RTX 6000 Ada,48,1,"host offer (live marketplace snapshot, FLOATS)",21,84,776,0.5407,0.5333,0.5407,Estonia (EU) - cheapest EU 48GB found anywhere,48GB,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
Vast.ai,NVIDIA L40,45,1,host offer,32,126,197,0.5778,0.4667,0.5778,Finland (EU),48GB,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
Verda,NVIDIA RTX A6000,48,1,RTX A6000,10,60,,0.61,0.305,0.61,FIN-01/02/03 Helsinki (EU),48GB,https://verda.com/pricing,CONFIRMED
RunPod (Community Cloud),NVIDIA L40,48,1,"NVIDIA L40 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.69,,0.69,EU DCs where stocked,48GB,https://www.runpod.io/pricing,CORRECTED
Vast.ai,NVIDIA L40S,45,1,host offer,16,126,1396,0.737,0.4667,0.737,Finland (EU),48GB,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
